blk2010gj,blk2010ge,blk2020gj,blk2020ge,parea,weight
G15000100201001091,150010201001091,G15000100201003014,150010201003014,1,1
G15000100201001092,150010201001092,G15000100201003014,150010201003014,1,1
G15000100201001093,150010201001093,G15000100201003019,150010201003019,1,1
G15000100201001094,150010201001094,G15000100201003019,150010201003019,1,1
G15000100201001095,150010201001095,G15000100201003014,150010201003014,1,1
G15000100201001096,150010201001096,G15000100201003014,150010201003014,1,1
G15000100201001097,150010201001097,G15000100201003019,150010201003019,1,1
G15000100201001098,150010201001098,G15000100201003014,150010201003014,1,1
G15000100201001099,150010201001099,G15000100201003014,150010201003014,1,1
G15000100201001100,150010201001100,G15000100201003019,150010201003019,1,1
G15000100201001101,150010201001101,G15000100201003039,150010201003039,1,1
G15000100201001102,150010201001102,G15000100201003039,150010201003039,1,1
G15000100201001103,150010201001103,G15000100201003017,150010201003017,1,1
G15000100201001104,150010201001104,G15000100201003017,150010201003017,1,1
G15000100201001105,150010201001105,G15000100201003016,150010201003016,1,1
G15000100201001106,150010201001106,G15000100201003039,150010201003039,1,1
G15000100201001107,150010201001107,G15000100201003039,150010201003039,1,1
G15000100201001108,150010201001108,G15000100201003039,150010201003039,1,1
G15000100201001109,150010201001109,G15000100201003038,150010201003038,1,1
G15000100201001110,150010201001110,G15000100201003038,150010201003038,1,1
G15000100201001111,150010201001111,G15000100201003017,150010201003017,1,1
G15000100201001112,150010201001112,G15000100201003017,150010201003017,1,1
G15000100201001113,150010201001113,G15000100201003017,150010201003017,1,1
G15000100201001114,150010201001114,G15000100201003017,150010201003017,1,1
G15000100201001115,150010201001115,G15000100201003037,150010201003037,1,1
G15000100201001116,150010201001116,G15000100201003037,150010201003037,1,1
G15000100201001117,150010201001117,G15000100201003037,150010201003037,1,1
G15000100201001118,150010201001118,G15000100201003037,150010201003037,1,1
G15000100201001119,150010201001119,G15000100201003037,150010201003037,1,1
G15000100201001120,150010201001120,G15000100201003036,150010201003036,1,1
G15000100201001121,150010201001121,G15000100201003036,150010201003036,1,1
G15000100201001122,150010201001122,G15000100201003036,150010201003036,1,1
